,start_district,finish_district,count,total_distance,total_duration,time
182,102,102,14002.0,14826170.0,4380331.0,morning
183,102,102,3560.0,3558872.0,1063502.0,night
184,102,103,32162.0,57052561.0,16688369.0,day
185,102,103,23038.0,41826274.0,12205990.0,evening
186,102,103,19625.0,33594922.0,9774156.0,morning
187,102,103,4359.0,7772070.0,2288920.0,night
188,102,104,3824.0,12034860.0,3289264.0,day
189,102,104,2661.0,8558463.0,2348982.0,evening
190,102,104,1379.0,4501042.0,1242188.0,morning
191,102,104,535.0,1716340.0,464958.0,night
192,102,105,2515.0,10830210.0,2957076.0,day
193,102,105,2212.0,9502080.0,2580910.0,evening
194,102,105,741.0,3041758.0,825137.0,morning
195,102,105,628.0,2726018.0,735509.0,night
196,102,201,1170.0,5646749.0,1513734.0,day
197,102,201,937.0,4523011.0,1217353.0,evening
198,102,201,804.0,3736794.0,1031245.0,morning
199,102,201,196.0,945213.0,252662.0,night
200,102,202,317.0,1973432.0,517569.0,day
201,102,202,266.0,1686650.0,446030.0,evening
202,102,202,154.0,981159.0,257648.0,morning
203,102,202,58.0,365650.0,96191.0,night
204,102,203,67.0,482351.0,127651.0,day
205,102,203,62.0,442380.0,117293.0,evening
206,102,203,19.0,142838.0,37559.0,morning
207,102,203,15.0,108458.0,28564.0,night
208,102,204,12.0,108672.0,29186.0,day
209,102,204,7.0,67602.0,18190.0,evening
210,102,204,11.0,91937.0,24928.0,morning
211,102,204,4.0,33259.0,8904.0,night
212,102,301,9535.0,28997953.0,7969829.0,day
213,102,301,7653.0,23409910.0,6533412.0,evening
214,102,301,4141.0,13502475.0,3692120.0,morning
215,102,301,1190.0,3502639.0,985814.0,night
216,102,302,1314.0,4710424.0,1470703.0,day
217,102,302,1312.0,4784045.0,1480820.0,evening
218,102,302,366.0,1383119.0,428674.0,morning
219,102,302,249.0,875171.0,273246.0,night
220,102,303,1257.0,5316064.0,1573172.0,day
221,102,303,982.0,4234495.0,1260284.0,evening
222,102,303,771.0,3305535.0,996413.0,morning
223,102,303,157.0,675375.0,199638.0,night
224,102,304,362.0,1823899.0,520127.0,day
225,102,304,225.0,1182333.0,337344.0,evening
226,102,304,408.0,2142811.0,607447.0,morning
227,102,304,50.0,248515.0,70667.0,night
228,102,305,632.0,3801012.0,1001493.0,day
229,102,305,336.0,2025771.0,540011.0,evening
230,102,305,150.0,942426.0,250679.0,morning
231,102,305,60.0,367431.0,97623.0,night
232,102,401,7.0,59644.0,17273.0,day
233,102,401,9.0,76635.0,22169.0,evening
234,102,401,1.0,8208.0,2376.0,morning
235,102,402,2.0,19484.0,5633.0,day
236,102,402,1.0,9379.0,2705.0,evening
237,102,402,1.0,10014.0,2928.0,morning
238,102,402,1.0,9336.0,2729.0,night
239,102,404,14.0,114176.0,32868.0,day
240,102,404,12.0,112692.0,31878.0,evening
241,102,404,2.0,16318.0,4852.0,night
242,102,501,27.0,227496.0,58694.0,day
243,102,501,26.0,234775.0,61093.0,evening
244,102,501,5.0,51439.0,13327.0,morning
245,102,501,13.0,100099.0,25661.0,night
246,102,601,203.0,1135411.0,297918.0,day
247,102,601,218.0,1252853.0,331125.0,evening
248,102,601,73.0,411416.0,108014.0,morning
249,102,601,77.0,439621.0,115259.0,night
250,102,602,76.0,583931.0,152608.0,day
251,102,602,65.0,509904.0,132973.0,evening
252,102,602,21.0,167377.0,44029.0,morning
253,102,602,21.0,164726.0,43236.0,night
254,102,603,3.0,30775.0,8186.0,day
255,102,603,10.0,112981.0,30516.0,evening
256,102,603,1.0,10927.0,3046.0,morning
257,102,603,4.0,43201.0,11827.0,night
258,102,701,3.0,38361.0,9902.0,day
259,102,701,12.0,145617.0,37714.0,evening
260,102,701,1.0,10060.0,2643.0,morning
261,102,701,4.0,48209.0,12312.0,night
262,103,000,1486.0,10200314.0,2809684.0,day
263,103,000,885.0,6302563.0,1727610.0,evening
264,103,000,881.0,6059464.0,1657555.0,morning
265,103,000,329.0,2477479.0,679581.0,night
266,103,101,52566.0,88253489.0,25503257.0,day
267,103,101,21202.0,35011825.0,10081857.0,evening
268,103,101,34448.0,54076774.0,15689213.0,morning
269,103,101,3480.0,5829164.0,1680814.0,night
270,103,102,36284.0,64525472.0,18736591.0,day
271,103,102,24223.0,41986244.0,12297425.0,evening
272,103,102,26269.0,45575518.0,13362136.0,morning
273,103,102,2770.0,4364710.0,1297417.0,night
274,103,103,118657.0,135521564.0,42227020.0,day
275,103,103,73826.0,81525108.0,25209508.0,evening
276,103,103,69902.0,79710332.0,24347160.0,morning
277,103,103,8951.0,9862797.0,3015445.0,night
278,103,104,20186.0,40526254.0,11535725.0,day
279,103,104,15487.0,29651968.0,8410659.0,evening
280,103,104,6921.0,14616735.0,4187298.0,morning
281,103,104,2320.0,4129558.0,1162859.0,night
282,103,105,14906.0,41048178.0,11303738.0,day
283,103,105,11649.0,32763015.0,8994795.0,evening
284,103,105,4172.0,11589703.0,3174254.0,morning
285,103,105,2676.0,7939619.0,2172410.0,night
286,103,201,8592.0,30684893.0,8488906.0,day
287,103,201,7055.0,24728521.0,6823572.0,evening
288,103,201,4300.0,13873889.0,3940426.0,morning
289,103,201,1131.0,3866050.0,1063085.0,night
290,103,202,2726.0,13743427.0,3637801.0,day
291,103,202,2328.0,11556258.0,3058898.0,evening
292,103,202,600.0,2978258.0,783160.0,morning
293,103,202,507.0,2510068.0,661381.0,night
294,103,203,778.0,4730587.0,1276605.0,day
295,103,203,800.0,4615274.0,1237224.0,evening
296,103,203,90.0,559918.0,151361.0,morning
297,103,203,146.0,828349.0,223055.0,night
298,103,204,143.0,985400.0,267102.0,day
299,103,204,168.0,1188549.0,322841.0,evening
300,103,204,64.0,425101.0,116717.0,morning
301,103,204,22.0,162186.0,43884.0,night
302,103,301,11399.0,34136959.0,10028500.0,day
303,103,301,8320.0,24739110.0,7308069.0,evening
304,103,301,5163.0,16079918.0,4693899.0,morning
305,103,301,1273.0,3769829.0,1111311.0,night
306,103,302,6270.0,19778127.0,5984248.0,day
307,103,302,5479.0,16828021.0,5100231.0,evening
308,103,302,1692.0,5320826.0,1617684.0,morning
309,103,302,815.0,2452983.0,742999.0,night
310,103,303,3666.0,14263067.0,4277912.0,day
311,103,303,2767.0,10520025.0,3174885.0,evening
312,103,303,2862.0,11041614.0,3328214.0,morning
313,103,303,411.0,1540382.0,464812.0,night
314,103,304,1691.0,7021075.0,2061225.0,day
315,103,304,1124.0,4527926.0,1336899.0,evening
316,103,304,1342.0,5539647.0,1632238.0,morning
317,103,304,223.0,850104.0,250946.0,night
318,103,305,1690.0,9171947.0,2645998.0,day
319,103,305,997.0,5352078.0,1550027.0,evening
320,103,305,598.0,3180925.0,940696.0,morning
321,103,305,159.0,865495.0,250180.0,night
322,103,401,73.0,534721.0,157574.0,day
323,103,401,53.0,392747.0,114289.0,evening
324,103,401,8.0,57757.0,16981.0,morning
325,103,401,6.0,42230.0,12499.0,night
326,103,402,18.0,156809.0,44562.0,day
327,103,402,13.0,109316.0,31953.0,evening
328,103,402,1.0,8504.0,2276.0,morning
329,103,402,3.0,26591.0,7420.0,night
330,103,404,50.0,393815.0,113476.0,day
331,103,404,45.0,351056.0,101903.0,evening
332,103,404,6.0,45698.0,13220.0,morning
333,103,404,6.0,51762.0,14937.0,night
334,103,501,51.0,421814.0,119719.0,day
335,103,501,28.0,236885.0,67665.0,evening
336,103,501,8.0,66951.0,19295.0,morning
337,103,501,9.0,81249.0,23056.0,night
338,103,601,208.0,1195735.0,333326.0,day
339,103,601,153.0,879474.0,246185.0,evening
340,103,601,40.0,238314.0,66504.0,morning
341,103,601,21.0,120559.0,33464.0,night
342,103,602,82.0,631755.0,174744.0,day
343,103,602,51.0,409455.0,113667.0,evening
344,103,602,27.0,212326.0,59209.0,morning
345,103,602,10.0,83446.0,23237.0,night
346,103,603,5.0,56592.0,15724.0,day
347,103,603,1.0,8790.0,2447.0,evening
348,103,603,2.0,20542.0,5804.0,night
349,103,701,9.0,105214.0,27805.0,day
350,103,701,5.0,59390.0,15777.0,evening
351,103,701,4.0,46236.0,12217.0,morning
352,103,701,1.0,13473.0,3536.0,night
353,103,702,3.0,35140.0,9622.0,day
354,103,702,1.0,11701.0,3142.0,evening
355,103,702,1.0,12288.0,3397.0,night
