,start_district,finish_district,count,total_distance,total_duration,day,time
175,000,202,34.0,112046.0,28291.0,2.0,night
176,000,202,891.0,3164361.0,803074.0,3.0,day
177,000,202,623.0,2155575.0,546638.0,3.0,evening
178,000,202,187.0,759767.0,191769.0,3.0,morning
179,000,202,33.0,119867.0,29975.0,3.0,night
180,000,202,859.0,3113821.0,788042.0,4.0,day
181,000,202,587.0,2051469.0,519927.0,4.0,evening
182,000,202,197.0,831402.0,210436.0,4.0,morning
183,000,202,33.0,115514.0,28968.0,4.0,night
184,000,202,755.0,2645715.0,669743.0,5.0,day
185,000,202,437.0,1544985.0,391257.0,5.0,evening
186,000,202,130.0,488601.0,122808.0,5.0,morning
187,000,202,36.0,145619.0,36382.0,5.0,night
188,000,202,733.0,2552589.0,645602.0,6.0,day
189,000,202,399.0,1371415.0,347549.0,6.0,evening
190,000,202,163.0,646075.0,162714.0,6.0,morning
191,000,202,65.0,231214.0,58029.0,6.0,night
192,000,203,141.0,713889.0,185547.0,0.0,day
193,000,203,66.0,324339.0,84920.0,0.0,evening
194,000,203,34.0,186594.0,47899.0,0.0,morning
195,000,203,26.0,132326.0,34112.0,0.0,night
196,000,203,163.0,949674.0,244856.0,1.0,day
197,000,203,100.0,554218.0,142240.0,1.0,evening
198,000,203,51.0,234238.0,60602.0,1.0,morning
199,000,203,5.0,32912.0,8562.0,1.0,night
200,000,203,167.0,982636.0,252304.0,2.0,day
201,000,203,155.0,852554.0,221106.0,2.0,evening
202,000,203,65.0,328760.0,85156.0,2.0,morning
203,000,203,6.0,29638.0,7640.0,2.0,night
204,000,203,151.0,869884.0,223970.0,3.0,day
205,000,203,126.0,649445.0,167469.0,3.0,evening
206,000,203,74.0,353739.0,91512.0,3.0,morning
207,000,203,5.0,31997.0,8467.0,3.0,night
208,000,203,155.0,902520.0,232344.0,4.0,day
209,000,203,98.0,534590.0,137969.0,4.0,evening
210,000,203,55.0,256575.0,66535.0,4.0,morning
211,000,203,8.0,44256.0,11444.0,4.0,night
212,000,203,110.0,622475.0,160633.0,5.0,day
213,000,203,61.0,337261.0,87644.0,5.0,evening
214,000,203,46.0,232747.0,60100.0,5.0,morning
215,000,203,7.0,45886.0,11903.0,5.0,night
216,000,203,105.0,527166.0,137130.0,6.0,day
217,000,203,64.0,310546.0,80647.0,6.0,evening
218,000,203,30.0,157210.0,39650.0,6.0,morning
219,000,203,16.0,96374.0,24964.0,6.0,night
220,000,204,214.0,697949.0,191455.0,0.0,day
221,000,204,148.0,474663.0,130135.0,0.0,evening
222,000,204,59.0,206633.0,55598.0,0.0,morning
223,000,204,41.0,125915.0,34538.0,0.0,night
224,000,204,219.0,823168.0,223000.0,1.0,day
225,000,204,175.0,605109.0,164253.0,1.0,evening
226,000,204,268.0,960322.0,257926.0,1.0,morning
227,000,204,12.0,46759.0,12604.0,1.0,night
228,000,204,241.0,858674.0,233608.0,2.0,day
229,000,204,153.0,514536.0,139223.0,2.0,evening
230,000,204,291.0,1032155.0,277618.0,2.0,morning
231,000,204,10.0,43305.0,11610.0,2.0,night
232,000,204,193.0,701632.0,190396.0,3.0,day
233,000,204,161.0,572902.0,156139.0,3.0,evening
234,000,204,303.0,1054001.0,282320.0,3.0,morning
235,000,204,13.0,42278.0,11448.0,3.0,night
236,000,204,216.0,784281.0,214133.0,4.0,day
237,000,204,191.0,658039.0,179984.0,4.0,evening
238,000,204,297.0,1037953.0,277285.0,4.0,morning
239,000,204,13.0,51000.0,13704.0,4.0,night
240,000,204,177.0,593407.0,161084.0,5.0,day
241,000,204,133.0,456484.0,124746.0,5.0,evening
242,000,204,232.0,804107.0,215956.0,5.0,morning
243,000,204,16.0,49804.0,13390.0,5.0,night
244,000,204,201.0,648720.0,176426.0,6.0,day
245,000,204,125.0,414792.0,112839.0,6.0,evening
246,000,204,71.0,221893.0,59499.0,6.0,morning
247,000,204,20.0,68096.0,18294.0,6.0,night
248,000,301,4.0,38910.0,10561.0,0.0,day
249,000,301,3.0,35346.0,9562.0,0.0,evening
250,000,301,1.0,7500.0,2148.0,0.0,morning
251,000,301,3.0,27562.0,7414.0,0.0,night
252,000,301,14.0,131094.0,34968.0,1.0,day
253,000,301,6.0,56071.0,15034.0,1.0,evening
254,000,301,2.0,17852.0,4820.0,1.0,morning
255,000,301,2.0,19568.0,5292.0,1.0,night
256,000,301,13.0,132289.0,35305.0,2.0,day
257,000,301,6.0,63727.0,17209.0,2.0,evening
258,000,301,3.0,31340.0,8323.0,2.0,morning
259,000,301,1.0,9806.0,2667.0,2.0,night
260,000,301,13.0,126135.0,33686.0,3.0,day
261,000,301,9.0,90665.0,24236.0,3.0,evening
262,000,301,3.0,31941.0,8551.0,3.0,morning
263,000,301,4.0,37508.0,10107.0,3.0,night
264,000,301,16.0,155293.0,41806.0,4.0,day
265,000,301,5.0,46407.0,12524.0,4.0,evening
266,000,301,5.0,53445.0,14540.0,4.0,morning
267,000,301,6.0,58260.0,15469.0,5.0,day
268,000,301,6.0,57979.0,15567.0,5.0,evening
269,000,301,1.0,11229.0,3029.0,5.0,morning
270,000,301,2.0,23172.0,6297.0,5.0,night
271,000,301,9.0,88445.0,23299.0,6.0,day
272,000,301,4.0,39462.0,10518.0,6.0,evening
273,000,301,4.0,41100.0,10915.0,6.0,morning
274,000,301,2.0,20413.0,5436.0,6.0,night
275,000,302,3.0,26715.0,7100.0,0.0,day
276,000,302,4.0,40593.0,10776.0,0.0,evening
277,000,302,5.0,40234.0,10945.0,0.0,morning
278,000,302,2.0,21308.0,5715.0,0.0,night
279,000,302,11.0,97483.0,26103.0,1.0,day
280,000,302,11.0,99480.0,26661.0,1.0,evening
281,000,302,2.0,17046.0,4614.0,1.0,morning
282,000,302,2.0,14564.0,3984.0,1.0,night
283,000,302,11.0,92590.0,25395.0,2.0,day
284,000,302,13.0,122467.0,32841.0,2.0,evening
285,000,302,9.0,71681.0,19535.0,2.0,morning
286,000,302,3.0,23726.0,6447.0,2.0,night
287,000,302,11.0,103725.0,27913.0,3.0,day
288,000,302,11.0,93606.0,25312.0,3.0,evening
289,000,302,5.0,39806.0,10813.0,3.0,morning
290,000,302,3.0,22822.0,6230.0,3.0,night
291,000,302,8.0,69836.0,18776.0,4.0,day
292,000,302,5.0,42362.0,11466.0,4.0,evening
293,000,302,5.0,39963.0,10997.0,4.0,morning
294,000,302,1.0,7282.0,1992.0,4.0,night
295,000,302,9.0,83832.0,22506.0,5.0,day
296,000,302,1.0,7951.0,2305.0,5.0,evening
297,000,302,1.0,9794.0,2612.0,5.0,morning
298,000,302,3.0,21846.0,5976.0,5.0,night
299,000,302,9.0,75546.0,20598.0,6.0,day
300,000,302,5.0,43423.0,11824.0,6.0,evening
301,000,302,1.0,8678.0,2388.0,6.0,morning
302,000,302,2.0,18847.0,5021.0,6.0,night
303,000,303,5.0,49828.0,13491.0,0.0,day
304,000,303,3.0,30030.0,8095.0,0.0,evening
305,000,303,2.0,16597.0,4467.0,0.0,morning
306,000,303,3.0,29095.0,7847.0,0.0,night
307,000,303,13.0,118002.0,32145.0,1.0,day
308,000,303,11.0,101214.0,27297.0,1.0,evening
309,000,303,23.0,206339.0,55437.0,1.0,morning
310,000,303,2.0,16641.0,4505.0,1.0,night
311,000,303,17.0,144317.0,39199.0,2.0,day
312,000,303,16.0,140131.0,37774.0,2.0,evening
313,000,303,22.0,192076.0,51563.0,2.0,morning
314,000,303,17.0,151728.0,41142.0,3.0,day
315,000,303,18.0,154312.0,41647.0,3.0,evening
316,000,303,24.0,208567.0,56203.0,3.0,morning
317,000,303,18.0,160997.0,44097.0,4.0,day
318,000,303,13.0,112283.0,30427.0,4.0,evening
319,000,303,25.0,220965.0,59405.0,4.0,morning
320,000,303,1.0,7936.0,2161.0,4.0,night
321,000,303,12.0,106377.0,28771.0,5.0,day
322,000,303,10.0,84362.0,22866.0,5.0,evening
