name,id,major_id,pop_km2,total_pop,ages_0-6,ages_7-15,ages_16-18,ages_19-24,ages_25-39,ages_40-64,ages_65-,avg_pers_income,median_fam_income,people_on_social_assistance,unemployment,homes,carless_households,employment_km2,business_bldgs,public_bldgs,industrial_bldgs,floorarea_ha,floorarea_housing_house,floorarea_housing_condo,floorarea_business,floorarea_public,floorarea_industrial,floorarea_other,daycares,primary_schools,primary_school_pupils,middle_schools,middle_school_pupils,high_schools,high_school_students,special_schools,special_school_pupils,libraries,health_stations,playgrounds,swimming_halls,sports_halls,sports_fields,churches,post_offices,apothecaries,alkos,grocery_shops,other_retail,restaurants,cafes_bars,parks_ha,forest_ha,swim_beaches,voted_SDP,voted_KOK,voted_VIHR,voted_RKP,voted_VASL,voted_PS,voted_other
Malmin peruspiiri,503,5,2650.683682771194,29078,7.8,9.73,3.18,6.87461310956737,21.42513240250361,33.52,17.46,31302.414838337183,41255,3456,9.798040391921615,15406,44.5,1078,192.085,160.507,277.808,1860,28.81,35.54,9.42,7.87,18.34,0.03,18,5,1615,2,681,0,0,1,70,2,1,5,1,27,28,3,2,2,1,27,71,48,3,123.8701,104.0958,1,19.45,25.21,17.98,3.87,10.86,10.19,12.44
Suutarilan peruspiiri,504,5,2714.38679245283,11509,8.27,10.85,3.59,6.994526023112346,19.966982361630027,32.06,18.26,31140.507502679528,47850,997,7.858546168958743,5399,32.8,528,21.259,34.397,137.189,1690,43.39,28.18,2.97,4.80,20.66,0.01,6,3,927,1,337,0,0,0,0,1,1,3,1,4,16,0,1,1,0,6,16,2,0,67.8234,43.2549,0,20.21,27.02,16.45,3.13,9.26,12.09,11.84
Puistolan peruspiiri,505,5,2685.638998682477,20384,8.83,11.63,3.51,6.142072213500785,20.746664050235477,33.69,15.45,34366.284808583274,50655,2173,8.76539673446004,9601,36.1,564,50.261,56.993,180.636,1636,50.18,23.61,4.05,4.59,17.50,0.07,9,3,1362,1,365,1,861,0,0,2,1,2,0,8,20,1,0,1,0,7,33,14,1,59.2966,101.9076,0,18.89,28.45,16.21,2.99,10.95,10.51,12.00
Jakomäen peruspiiri,506,5,2942.051282051282,5737,8.59,9.15,3.05,9.430015687641625,23.00854104932892,29.41,17.36,21355.58943781942,28457,1330,16.86478454680535,3092,53.9,276,8.756,21.393,4.78,1505,6.16,77.09,2.98,7.29,3.25,3.22,3,1,352,1,139,0,0,0,0,1,1,1,1,5,7,1,0,1,0,5,4,8,0,3.3218,69.4200,0,24.83,15.59,13.95,2.09,13.82,16.39,13.33
Kulosaaren peruspiiri,601,6,1635.5102040816325,4007,7.06,10.56,2.85,6.763164462191165,22.261043174444723,31.1,19.42,57082.99063726971,54465,147,7.005426739023187,2180,44.7,484,28.342,28.39,1.455,1229,37.55,40.73,9.41,9.43,1.45,1.44,2,2,478,1,455,2,895,0,0,0,0,0,0,3,6,2,0,0,0,1,8,6,1,15.9655,77.0368,2,5.48,44.39,19.24,15.12,6.62,3.64,5.51
Herttoniemen peruspiiri,602,6,4125,28875,7.7,8.28,2.45,6.147186147186147,26.337662337662337,32.45,16.63,33683.97972304649,37613,3581,10.915651781686964,16729,57.0,1449,160.378,123.866,375.007,2965,8.36,52.37,7.73,5.97,25.44,0.14,12,5,1963,2,839,1,364,1,39,2,0,4,0,16,21,4,3,4,1,18,64,46,4,61.0492,164.1236,1,16.38,21.41,26.78,3.92,14.63,7.58,9.30
Laajasalon peruspiiri,603,6,1265.3992395437263,19968,8.18,10.05,3.1,6.390224358974359,20.087139423076923,32.63,19.56,39023.301013210206,45884,1727,8.689610944848225,10576,42.2,143,36.306,65.777,18.083,724,36.13,47.77,3.18,5.76,5.44,1.72,9,4,1228,1,424,0,0,0,0,1,1,4,0,6,17,1,0,1,1,7,26,7,4,61.8833,352.5483,4,12.70,37.89,19.69,5.66,8.21,6.61,9.24
Vartiokylän peruspiiri,701,7,3121.7821782178216,22071,7.04,9.26,3.23,6.7418784830773415,20.239227946173713,33.47,20.02,31423.580535152152,37045,3472,12.487411883182276,12089,50.5,1410,291.919,105.307,178.825,2460,23.59,36.91,16.78,6.05,16.04,0.63,13,3,1114,2,608,0,0,0,0,1,0,2,0,10,10,3,1,3,3,28,144,68,8,52.4374,89.1055,2,18.74,29.73,18.41,5.22,9.94,9.53,8.43
Myllypuron peruspiiri,702,7,3570.1704545454545,12567,9.11,9.25,3.3,6.190817219702395,21.047187077265857,32.25,18.84,28421.022551928785,37945,1795,10.945529290853031,6432,49.4,532,12.604,151.115,12.575,2072,22.99,50.77,1.73,20.72,2.31,1.47,8,2,878,2,357,1,615,0,0,1,1,1,1,10,13,2,1,1,0,9,12,7,1,29.2091,101.6694,0,23.57,19.95,19.21,3.85,12.93,9.80,10.69
Mellunkylän peruspiiri,703,7,3982.772680937818,39071,7.95,9.58,3.57,7.151083924138107,21.112845844744182,32.08,18.56,24112.820837689895,32473,7943,15.11290939909235,20652,51.6,429,42.293,129.287,73.757,2036,17.16,66.59,2.12,6.47,5.97,1.69,23,5,2087,2,832,1,287,1,44,1,2,6,1,15,23,1,1,3,2,32,32,46,8,100.1383,220.7539,0,26.64,17.58,14.89,3.47,12.64,13.59,11.19
Vuosaaren peruspiiri,704,7,2281.1475409836066,38962,7.83,10.1,3.1,6.57050459422001,20.4686617730096,33.41,18.52,28792.089737589315,36911,6816,13.079048023799405,20889,50.3,382,89.361,140.55,248.601,1351,13.28,58.94,3.87,6.09,17.33,0.49,25,5,2488,4,1210,1,516,0,0,1,1,4,1,20,17,5,2,1,1,23,46,47,5,149.4193,486.2955,4,21.34,25.32,18.50,5.22,10.11,9.55,9.96
Östersundomin peruspiiri,801,8,74.31192660550458,1944,5.61,14.35,6.84,7.304526748971194,9.722222222222223,44.8,11.37,60365.666871165646,98038,24,5.72232645403377,733,11.8,16,4.129,13.086,5.084,66,81.07,0.46,2.38,7.55,8.16,0.38,2,2,208,1,108,0,0,0,0,1,0,0,0,3,6,1,1,0,0,4,10,1,1,38.9896,1088.5100,0,6.51,41.28,14.33,18.74,2.81,8.12,8.21
