,start_district,finish_district,count,total_distance,total_duration
348,305,701,156.0,1252321.0,337554.0
349,305,702,108.0,765243.0,216870.0
350,401,000,36.0,288760.0,73086.0
351,401,101,119.0,882962.0,238701.0
352,401,102,13.0,112444.0,30468.0
353,401,103,132.0,955100.0,264200.0
354,401,104,310.0,1641034.0,468490.0
355,401,105,4.0,39715.0,10547.0
356,401,201,290.0,1324230.0,351165.0
357,401,202,45.0,236511.0,62750.0
358,401,203,734.0,2082759.0,548993.0
359,401,204,182.0,802732.0,209915.0
360,401,301,103.0,657041.0,175050.0
361,401,302,132.0,754850.0,201927.0
362,401,303,314.0,1586489.0,427581.0
363,401,304,484.0,1828002.0,538164.0
364,401,305,826.0,2353183.0,679321.0
365,401,401,799.0,301493.0,92263.0
366,401,402,468.0,572913.0,165675.0
367,401,404,1233.0,2847820.0,834714.0
368,401,501,108.0,629998.0,176934.0
369,401,601,2.0,15368.0,4250.0
370,401,602,33.0,312477.0,87708.0
371,401,603,1.0,12157.0,3341.0
372,401,701,4.0,40679.0,11258.0
373,401,702,3.0,30358.0,8721.0
374,402,000,13.0,99326.0,26439.0
375,402,101,17.0,145837.0,39193.0
376,402,102,8.0,76907.0,20935.0
377,402,103,21.0,174573.0,47527.0
378,402,104,91.0,624172.0,166094.0
379,402,201,100.0,566581.0,142746.0
380,402,202,31.0,194504.0,48966.0
381,402,203,296.0,924203.0,240142.0
382,402,204,29.0,145390.0,38073.0
383,402,301,16.0,119632.0,31998.0
384,402,302,33.0,221439.0,59439.0
385,402,303,101.0,616926.0,167003.0
386,402,304,168.0,805388.0,231024.0
387,402,305,201.0,792541.0,223650.0
388,402,401,324.0,393024.0,117060.0
389,402,402,110.0,0.0,0.0
390,402,404,277.0,766037.0,217545.0
391,402,501,20.0,122025.0,33446.0
392,402,702,2.0,20042.0,5400.0
393,404,000,22.0,215454.0,56724.0
394,404,101,314.0,2483552.0,647827.0
395,404,102,19.0,169294.0,44360.0
396,404,103,187.0,1457172.0,388793.0
397,404,104,262.0,1657998.0,443938.0
398,404,105,1.0,11078.0,2903.0
399,404,201,269.0,1681682.0,462005.0
400,404,202,95.0,669125.0,180830.0
401,404,203,551.0,2682755.0,745747.0
402,404,204,133.0,824864.0,236356.0
403,404,301,678.0,4051025.0,1049985.0
404,404,302,333.0,1802797.0,481151.0
405,404,303,1055.0,5019956.0,1331398.0
406,404,304,1044.0,4632100.0,1272785.0
407,404,305,6253.0,13872798.0,3861486.0
408,404,401,1059.0,2409913.0,688348.0
409,404,402,307.0,837919.0,229928.0
410,404,404,11637.0,11439111.0,3645911.0
411,404,501,2319.0,7433964.0,2131547.0
412,404,601,8.0,57190.0,14885.0
413,404,602,158.0,1053448.0,305343.0
414,404,701,104.0,767486.0,215866.0
